fiscal_year,adopted,amended,expended,categories,sub_categories,fund_code,departments,organization,organization_descr,program_code,account_groupings,account,fund_code_descr,program_code_descr,account_descr,fiscal_year_descr,row_id
2017,0,0,85.31,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Maintenance and Operations,540900,General Fund,Field Area Policing,Other Costs,2016  -  2017,FY2017PRG10111FND101DEP15300ACC540900
2017,0,0,7.24,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10113,Maintenance and Operations,540900,General Fund,Traffic Enforcement,Other Costs,2016  -  2017,FY2017PRG10113FND101DEP15300ACC540900
2017,0,0,2509.25,Protection of Persons and Prop,Police Protection,101,Police,15100,Police Administration,10111,Maintenance and Operations,536100,General Fund,Field Area Policing,Internal Rent - Maintenance,2016  -  2017,FY2017PRG10111FND101DEP15100ACC536100
2017,7842903,7842903,7273320.72,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Salaries and Benefits,501100,General Fund,Field Area Policing,Regular Salaries - Sworn,2016  -  2017,FY2017PRG10111FND101DEP15300ACC501100
2017,725176,725176,588069.14,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Salaries and Benefits,501200,General Fund,Field Area Policing,Regular Salaries - Non-Sworn,2016  -  2017,FY2017PRG10111FND101DEP15300ACC501200
2017,370380,370380,384762.51,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Salaries and Benefits,501300,General Fund,Field Area Policing,Regular Salaries - Part-Time,2016  -  2017,FY2017PRG10111FND101DEP15300ACC501300
2017,705786,705786,1670337.77,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Salaries and Benefits,501400,General Fund,Field Area Policing,Overtime,2016  -  2017,FY2017PRG10111FND101DEP15300ACC501400
2017,67000,67000,39942.78,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Salaries and Benefits,501500,General Fund,Field Area Policing,Accrual Payoff - Excess Max.,2016  -  2017,FY2017PRG10111FND101DEP15300ACC501500
2017,25000,25000,96297.88,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Salaries and Benefits,501600,General Fund,Field Area Policing,Vacation/Comp. Time Cash Out,2016  -  2017,FY2017PRG10111FND101DEP15300ACC501600
2017,30000,30000,197210.94,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Salaries and Benefits,501700,General Fund,Field Area Policing,Holiday Allowance,2016  -  2017,FY2017PRG10111FND101DEP15300ACC501700
2017,0,0,44643.5,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Salaries and Benefits,501800,General Fund,Field Area Policing,Separation Pay-Off,2016  -  2017,FY2017PRG10111FND101DEP15300ACC501800
2017,775535,775535,717806.64,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Salaries and Benefits,501900,General Fund,Field Area Policing,Other Compensation,2016  -  2017,FY2017PRG10111FND101DEP15300ACC501900
2017,684216,684216,655311.62,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Salaries and Benefits,505100,General Fund,Field Area Policing,Cafeteria Plan,2016  -  2017,FY2017PRG10111FND101DEP15300ACC505100
2017,132250,132250,153613.52,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Salaries and Benefits,505200,General Fund,Field Area Policing,Medicare,2016  -  2017,FY2017PRG10111FND101DEP15300ACC505200
2017,4910515,4910515,4852118.65,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Salaries and Benefits,505300,General Fund,Field Area Policing,Retirement,2016  -  2017,FY2017PRG10111FND101DEP15300ACC505300
2017,9856,9856,3046.5,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Salaries and Benefits,505500,General Fund,Field Area Policing,Professional Development,2016  -  2017,FY2017PRG10111FND101DEP15300ACC505500
2017,1500,1500,5748.08,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Maintenance and Operations,510100,General Fund,Field Area Policing,Stationery and Office,2016  -  2017,FY2017PRG10111FND101DEP15300ACC510100
2017,5500,2900,2607.54,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Maintenance and Operations,510200,General Fund,Field Area Policing,"Multi-Media, Promos, Subscrpt.",2016  -  2017,FY2017PRG10111FND101DEP15300ACC510200
2017,8490,10190,10427.65,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Maintenance and Operations,510300,General Fund,Field Area Policing,Small Tools and Equipment,2016  -  2017,FY2017PRG10111FND101DEP15300ACC510300
2016,0,0,1707.81,Protection of Persons and Prop,Police Protection,101,Police,15100,Police Administration,10111,Maintenance and Operations,536100,General Fund,Field Area Policing,Internal Rent - Maintenance,2015  -  2016,FY2016PRG10111FND101DEP15100ACC536100
2017,70000,70000,105750.08,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Maintenance and Operations,510400,General Fund,Field Area Policing,Uniforms and Clothing,2016  -  2017,FY2017PRG10111FND101DEP15300ACC510400
2017,58050,89550,69876.34,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Maintenance and Operations,510500,General Fund,Field Area Policing,Safety and Health,2016  -  2017,FY2017PRG10111FND101DEP15300ACC510500
2017,0,0,70.18,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Maintenance and Operations,510600,General Fund,Field Area Policing,Maintenance and Construction,2016  -  2017,FY2017PRG10111FND101DEP15300ACC510600
2017,0,0,1068.49,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Maintenance and Operations,520500,General Fund,Field Area Policing,Meetings and Conferences,2016  -  2017,FY2017PRG10111FND101DEP15300ACC520500
2017,700,700,0,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Maintenance and Operations,525700,General Fund,Field Area Policing,Office Equipment,2016  -  2017,FY2017PRG10111FND101DEP15300ACC525700
2017,0,1550,1678.22,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Maintenance and Operations,525800,General Fund,Field Area Policing,Other Equipment,2016  -  2017,FY2017PRG10111FND101DEP15300ACC525800
2017,19300,21300,14611.47,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Maintenance and Operations,530700,General Fund,Field Area Policing,Law Enforcement,2016  -  2017,FY2017PRG10111FND101DEP15300ACC530700
2017,461036,461036,284686.28,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Maintenance and Operations,536100,General Fund,Field Area Policing,Internal Rent - Maintenance,2016  -  2017,FY2017PRG10111FND101DEP15300ACC536100
2017,170337,170337,170337,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Maintenance and Operations,536200,General Fund,Field Area Policing,Internal Rent - Fleet,2016  -  2017,FY2017PRG10111FND101DEP15300ACC536200
2017,0,4500,4432.48,Protection of Persons and Prop,Police Protection,101,Police,15300,Police Field Operations,10111,Fixed Assets,590800,General Fund,Field Area Policing,Other Equipment,2016  -  2017,FY2017PRG10111FND101DEP15300ACC590800
2017,0,0,324.91,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10111,Maintenance and Operations,510400,General Fund,Field Area Policing,Uniforms and Clothing,2016  -  2017,FY2017PRG10111FND101DEP15400ACC510400
2017,0,0,1984,Protection of Persons and Prop,Police Protection,101,Police,15400,Police Support Services,10111,Maintenance and Operations,536100,General Fund,Field Area Policing,Internal Rent - Maintenance,2016  -  2017,FY2017PRG10111FND101DEP15400ACC536100
2017,545624,545624,499329.82,Protection of Persons and Prop,Police Protection,202,Police,15300,Police Field Operations,10111,Salaries and Benefits,501100,Prop 172 -- Public Safety Fund,Field Area Policing,Regular Salaries - Sworn,2016  -  2017,FY2017PRG10111FND202DEP15300ACC501100
2017,21214,21214,81553.82,Protection of Persons and Prop,Police Protection,202,Police,15300,Police Field Operations,10111,Salaries and Benefits,501400,Prop 172 -- Public Safety Fund,Field Area Policing,Overtime,2016  -  2017,FY2017PRG10111FND202DEP15300ACC501400
