categories,fund_code,fund_code_descr,departments,organization,organization_descr,program_code,program_code_descr,account,account_descr,fiscal_year,adopted,amended,actual,fiscal_year_descr,row_id
Rental,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,425150,GASB 31 Market Value Adjustmnt,2016,0,0,814661.54,2015  -  2016,FY2016PRG50540FND101DEP13200ACC425150
Miscellaneous,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,455220,Civil Subpoena Costs,2016,10600,10600,9439.79,2015  -  2016,FY2016PRG50540FND101DEP13200ACC455220
Investment Income,205,HOME Program Fund,Finance,13200,Financial Operations,50540,Treasury,425100,Investment Earnings,2016,0,0,1122.98,2015  -  2016,FY2016PRG50540FND205DEP13200ACC425100
Charges for Service,101,General Fund,City Manager,11200,City Clerk,50420,Public Records,435580,Photocopies,2016,3300,3300,4117.67,2015  -  2016,FY2016PRG50420FND101DEP11200ACC435580
Taxes,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,410100,Secured Property Tax,2016,22382400,22382400,23362798.82,2015  -  2016,FY2016PRG50540FND101DEP13200ACC410100
Taxes,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,410110,Unsecured Property Tax,2016,823300,823300,774260.05,2015  -  2016,FY2016PRG50540FND101DEP13200ACC410110
Taxes,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,410120,Supplemental Property Tax,2016,613700,613700,612278.66,2015  -  2016,FY2016PRG50540FND101DEP13200ACC410120
Taxes,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,410130,Homeowners Property Tax,2016,160800,160800,155646.7,2015  -  2016,FY2016PRG50540FND101DEP13200ACC410130
Taxes,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,410135,Delinquent Tax - Penalties/Int,2016,71700,71700,52888.62,2015  -  2016,FY2016PRG50540FND101DEP13200ACC410135
Taxes,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,410140,Property Transfer Tax,2016,621700,621700,1040196.92,2015  -  2016,FY2016PRG50540FND101DEP13200ACC410140
Intergovernmental,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,410145,Property Tax In-Lieu of VLF,2016,9567500,9567500,9937171,2015  -  2016,FY2016PRG50540FND101DEP13200ACC410145
Taxes,101,General Fund,Finance,13200,Financial Operations,50540,Treasury,410160,Sales Tax,2016,45936000,45936000,46772382.28,2015  -  2016,FY2016PRG50540FND101DEP13200ACC410160
Charges for Service,101,General Fund,City Manager,11100,City Manager Administration,51050,Communications and Marketing,435680,Central Services Charges,2016,51700,51700,74394.72,2015  -  2016,FY2016PRG51050FND101DEP11100ACC435680
Intergovernmental,415,"Measure M2"" Fund""",Public Services,19300,Transportation Services,30210,Traffic Planning,430312,"Measure M2"" Regional Grant""",2016,0,796538,0,2015  -  2016,FY2016PRG30210FND415DEP19300ACC430312
Miscellaneous,201,Gas Tax Fund,Public Services,19200,Engineering,30112,Street Improvements,455999,Other Reimbursements,2016,0,0,46986.5,2015  -  2016,FY2016PRG30112FND201DEP19200ACC455999
Fines & Forfeitures,101,General Fund,Police,15300,Police Field Operations,10111,Field Area Policing,420100,Municipal Code Violations,2016,190000,190000,34162.16,2015  -  2016,FY2016PRG10111FND101DEP15300ACC420100
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10111,Field Area Policing,435270,Repossessed Veh. Release Fees,2016,3400,3400,3420,2015  -  2016,FY2016PRG10111FND101DEP15300ACC435270
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10111,Field Area Policing,435320,Police False Alarms,2016,243200,243200,190898.36,2015  -  2016,FY2016PRG10111FND101DEP15300ACC435320
Fines & Forfeitures,217,Narcotics Forfeiture Fund,Police,15300,Police Field Operations,10111,Field Area Policing,420170,Asset Forfeiture-County/Other,2016,0,0,17522.48,2015  -  2016,FY2016PRG10111FND217DEP15300ACC420170
Fines & Forfeitures,101,General Fund,Police,15300,Police Field Operations,10113,Traffic Enforcement,420110,Vehicle Code Violations,2016,400000,400000,327889.82,2015  -  2016,FY2016PRG10113FND101DEP15300ACC420110
Fines & Forfeitures,101,General Fund,Police,15300,Police Field Operations,10113,Traffic Enforcement,420120,Parking Citations,2016,600000,600000,1110846.02,2015  -  2016,FY2016PRG10113FND101DEP15300ACC420120
Fines & Forfeitures,101,General Fund,Police,15300,Police Field Operations,10113,Traffic Enforcement,420200,Red-Light Camera Violation,2016,0,0,26512.27,2015  -  2016,FY2016PRG10113FND101DEP15300ACC420200
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10113,Traffic Enforcement,435265,Vehicle Code Violation Fee,2016,3600,3600,4130,2015  -  2016,FY2016PRG10113FND101DEP15300ACC435265
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10113,Traffic Enforcement,435280,DUI Emergency Response,2016,1600,1600,-9239.07,2015  -  2016,FY2016PRG10113FND101DEP15300ACC435280
Fines & Forfeitures,101,General Fund,Police,15400,Police Support Services,10113,Traffic Enforcement,420120,Parking Citations,2016,0,0,652.5,2015  -  2016,FY2016PRG10113FND101DEP15400ACC420120
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10114,Contract & Special Events,435250,Special Policing Fees,2016,470500,470500,395118.34,2015  -  2016,FY2016PRG10114FND101DEP15300ACC435250
Charges for Service,101,General Fund,Police,15400,Police Support Services,10131,Records/Information Systems,435590,Police Reports,2016,26000,26000,30870.75,2015  -  2016,FY2016PRG10131FND101DEP15400ACC435590
Charges for Service,101,General Fund,Police,15400,Police Support Services,10131,Records/Information Systems,435610,Police Clearance Letters,2016,4300,4300,3965,2015  -  2016,FY2016PRG10131FND101DEP15400ACC435610
Intergovernmental,101,General Fund,Police,15100,Police Administration,10133,Training,430245,Peace Offcrs. Stand./Training,2016,0,0,2764.8,2015  -  2016,FY2016PRG10133FND101DEP15100ACC430245
Intergovernmental,101,General Fund,Police,15300,Police Field Operations,10133,Training,430245,Peace Offcrs. Stand./Training,2016,21300,21300,13674.62,2015  -  2016,FY2016PRG10133FND101DEP15300ACC430245
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10134,Crime Prevention,435330,Fingerprinting,2016,60700,60700,62329,2015  -  2016,FY2016PRG10134FND101DEP15300ACC435330
Miscellaneous,101,General Fund,Police,15300,Police Field Operations,10135,Youth Crime Intervention,455999,Other Reimbursements,2016,0,0,0,2015  -  2016,FY2016PRG10135FND101DEP15300ACC455999
Miscellaneous,101,General Fund,Police,15400,Police Support Services,10135,Youth Crime Intervention,455999,Other Reimbursements,2016,0,0,180707.08,2015  -  2016,FY2016PRG10135FND101DEP15400ACC455999
Intergovernmental,101,General Fund,Police,15400,Police Support Services,10136,Property and Evidence,430299,Other State Grants,2016,0,0,3401,2015  -  2016,FY2016PRG10136FND101DEP15400ACC430299
Intergovernmental,101,General Fund,Police,15400,Police Support Services,10136,Property and Evidence,430399,Other County Grants,2016,0,0,0,2015  -  2016,FY2016PRG10136FND101DEP15400ACC430399
Charges for Service,101,General Fund,Police,15400,Police Support Services,10137,Jail,435290,Jail Booking Fees - City,2016,26600,26600,39520.77,2015  -  2016,FY2016PRG10137FND101DEP15400ACC435290
Licenses & Permits,101,General Fund,Police,15300,Police Field Operations,10139,Animal Control,415100,Dog Licenses,2016,98400,98400,99875.7,2015  -  2016,FY2016PRG10139FND101DEP15300ACC415100
Charges for Service,101,General Fund,Police,15300,Police Field Operations,10143,Office Traffic Safty RAID Grnt,435260,Vehicle Storage/Impound Fees,2016,147400,147400,196000,2015  -  2016,FY2016PRG10143FND101DEP15300ACC435260
Intergovernmental,101,General Fund,Fire,16200,Fire Suppression/MIC,10210,Response and Control,430199,Other Federal Grants,2016,0,0,160085.53,2015  -  2016,FY2016PRG10210FND101DEP16200ACC430199
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10210,Response and Control,435365,Fire Cost Recovery,2016,7500,7500,-1005.91,2015  -  2016,FY2016PRG10210FND101DEP16200ACC435365
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10210,Response and Control,435400,Fire False Alarms,2016,1400,1400,0,2015  -  2016,FY2016PRG10210FND101DEP16200ACC435400
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10210,Response and Control,435405,Accident Cost Recovery,2016,25800,25800,20460.64,2015  -  2016,FY2016PRG10210FND101DEP16200ACC435405
Charges for Service,101,General Fund,Fire,16200,Fire Suppression/MIC,10210,Response and Control,435520,Instructional Classes,2016,0,0,33703.32,2015  -  2016,FY2016PRG10210FND101DEP16200ACC435520
Miscellaneous,101,General Fund,Fire,16200,Fire Suppression/MIC,10210,Response and Control,455999,Other Reimbursements,2016,0,0,73183.67,2015  -  2016,FY2016PRG10210FND101DEP16200ACC455999
Licenses & Permits,101,General Fund,Fire,16300,Community Risk Reduction,10220,Community Risk Reduction,415120,Fire Permits,2016,106000,106000,89263.6,2015  -  2016,FY2016PRG10220FND101DEP16300ACC415120
Charges for Service,101,General Fund,Fire,16300,Community Risk Reduction,10220,Community Risk Reduction,435370,Fire Inspections,2016,4500,4500,6530,2015  -  2016,FY2016PRG10220FND101DEP16300ACC435370
Charges for Service,101,General Fund,Fire,16300,Community Risk Reduction,10220,Community Risk Reduction,435375,Hazrdous Material Disclose Fee,2016,130700,130700,133455.71,2015  -  2016,FY2016PRG10220FND101DEP16300ACC435375
