Unnamed: 0,Unnamed: 0.1,ALAND,AWATER,BLKGRPCE,COUNTYFP,E11B19001e1,E11B19001e13,E11B19001e2,E11B19013e1,E11B19025e1,E11B19055e2,E11B19059e2,E12B19113e1,E12B20002e1,E12B20002e2,E12B20002e3,E13B19101e1,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE,H07B25003e2,H07B25003e3,H18B25081e1,H18B25081e2,H18B25081e4,H18B25081e5,H18B25081e6,H18B25081e7,H18B25081e8,H18B25082e1,H18B25082e2,H18B25082e3,D01B01001e1,D01B01001e2,D01B01001e26,D02B01002Ae1,D02B01002Be1,D02B01002Ce1,D02B01002De1,D02B01002Ee1,D02B01002Fe1,D02B01002Ge1,D02B01002He1,D02B01002Ie1,D02B01002e1,D02B01002e2,D02B01002e3,D03B02001e1,D03B02001e2,D03B02001e3,D03B02001e4,D03B02001e5,D03B02001e6,D03B02001e7,D03B02001e8,D04B02001e1,S01B11001e1,S02B09019e2,S07B15003e22,S08B21001e1,S08B21001e2,S19B28008e10,S19B28008e2,S19B28008e4,S19B28008e9,Voter_Turnout,D01B01001e7-10,D01B01001e11-14,D01B01001e15-19,D01B01001e20-22,D01B01001e23-25,D01B01001e31-34,D01B01001e35-38,D01B01001e39-43,D01B01001e44-46,D01B01001e47-49,S07B15003e15-17,S07B15003e18-21,S07B15003e23-25,E11B19001e3-5,E11B19001e6-10,E11B19001e11-12,E11B19001e14-15,E11B19001e16-17
0,0,337300,0,3,59,688,83,115,62019.0,55804400,83,40,64800.0,38958.0,37778.0,40027.0,424,S,60590632013,15000US060590632013,33.6480393,-117.90633759999999,G5030,Block Group 3,405,6,488002.08203125,2966.66302086031,63201,141,547,141,110,0,23,0,87,31,128300000.0,97100000.0,31200000.0,1682,806,876,32.9,,,50.0,,39.8,6.9,34.0,34.5,34.2,34.6,32.4,1682,1463,0,0,27,0,117,75,1682,688,1682,411,1239,65,0,1682,1605,77,83.5,41.0,346.0,189.0,14.0,10.0,21.0,330.0,226.0,44.0,18.0,135.0,405.0,87.0,60.0,114.0,156.0,88.0,72.0
1,1,686935,0,1,59,1280,262,61,82353.0,130566800,198,101,111375.0,59471.0,54193.0,65625.0,753,S,60590638071,15000US060590638071,33.6707969,-117.92741470000001,G5030,Block Group 1,428,6,994370.75390625,4988.51556578565,63807,301,979,301,202,41,63,0,98,99,260495000.0,187350000.0,73145000.0,2999,1378,1621,42.3,46.5,,33.7,,,2.7,45.9,32.2,35.9,40.6,33.0,2999,2366,43,0,294,0,12,284,2999,1280,2999,810,2373,142,0,2999,2945,54,78.6,116.0,431.0,454.0,80.0,72.0,93.0,591.0,371.0,121.0,44.0,231.0,780.0,312.0,40.0,179.0,223.0,172.0,343.0
2,2,209303,0,2,59,321,17,6,23924.0,17866200,149,28,38708.0,27750.0,32019.0,20625.0,105,S,60590637022,15000US060590637022,33.6409341,-117.9214514,G5030,Block Group 2,515,6,302768.390625,2518.8818171512803,63702,8,313,8,0,0,0,0,0,8,,,,605,275,330,48.6,,,34.0,,27.7,,39.0,57.1,39.3,38.0,47.8,605,464,0,0,55,0,86,0,605,321,605,112,547,18,111,494,327,167,75.8,0.0,127.0,50.0,18.0,38.0,19.0,114.0,42.0,68.0,71.0,109.0,179.0,120.0,170.0,30.0,59.0,0.0,39.0
3,3,323900,0,2,59,417,40,0,112132.0,62904600,79,46,114635.0,55281.0,54653.0,55408.0,223,S,60590633022,15000US060590633022,33.632148799999996,-117.91063829999999,G5030,Block Group 2,641,6,468443.37109375,2903.0186245715804,63302,86,331,86,49,9,9,0,31,37,82280000.0,48500000.0,33780000.0,937,554,383,41.1,,,,,,,37.3,43.0,40.4,42.9,34.4,937,912,0,0,15,0,10,0,937,417,937,293,906,10,4,933,927,6,100.0,14.0,268.0,181.0,48.0,12.0,48.0,212.0,71.0,44.0,8.0,121.0,279.0,151.0,47.0,53.0,31.0,152.0,94.0
4,4,323906,0,1,59,370,38,7,106250.0,51478600,114,56,153846.0,66620.0,,49583.0,232,S,60590633021,15000US060590633021,33.6349404,-117.90786509999998,G5030,Block Group 1,754,6,468483.8046875,2903.205470934249,63302,300,70,300,137,0,14,0,123,163,415600000.0,169550000.0,246050000.0,903,477,426,42.6,,,,,,,42.6,60.4,42.4,42.9,39.6,903,875,3,0,15,0,0,10,903,370,896,282,641,37,65,831,805,26,67.6,8.0,83.0,161.0,47.0,27.0,14.0,111.0,85.0,47.0,58.0,85.0,130.0,122.0,17.0,27.0,91.0,33.0,157.0
5,5,501825,0,1,59,792,67,62,82750.0,90882400,192,127,106667.0,54179.0,53425.0,57560.0,394,S,60590631021,15000US060590631021,33.6608928,-117.89088429999998,G5030,Block Group 1,959,6,726249.3359375,3991.4616014798,63102,385,407,385,333,0,0,0,333,52,301615000.0,262125000.0,39490000.0,1881,846,1035,41.4,,,39.1,,26.2,39.3,41.7,22.8,39.2,41.5,36.2,1881,1588,6,18,38,0,148,83,1881,792,1838,248,1364,99,83,1755,1755,0,84.5,14.0,307.0,208.0,40.0,102.0,70.0,233.0,294.0,80.0,16.0,280.0,469.0,244.0,78.0,101.0,129.0,126.0,229.0
6,6,342498,0,3,59,559,18,1,74750.0,69949600,69,98,111204.0,55184.0,56905.0,51507.0,202,S,60590631023,15000US060590631023,33.656460700000004,-117.8980854,G5030,Block Group 3,960,6,495617.58203125,3012.17315977008,63102,207,352,207,200,0,0,0,200,7,,,,1145,638,507,44.3,,,,,45.0,,47.4,42.0,44.1,45.4,39.0,1145,1016,0,0,15,0,101,13,1145,559,1145,296,1020,25,60,1085,1037,48,81.05,60.0,163.0,300.0,14.0,24.0,72.0,199.0,141.0,7.0,40.0,58.0,346.0,174.0,160.0,52.0,68.0,125.0,135.0
7,7,647325,0,1,59,582,54,13,132143.0,93690700,166,125,171618.0,60729.0,76172.0,37880.0,366,S,60590631031,15000US060590631031,33.6459862,-117.8982997,G5030,Block Group 1,961,6,936501.16015625,4848.38041865676,63103,426,156,426,267,0,95,0,172,159,552465000.0,402475000.0,149990000.0,1409,723,686,44.9,,,53.7,,,8.3,44.8,45.2,44.3,42.9,46.4,1409,1311,0,0,26,0,0,72,1409,582,1409,490,1110,39,8,1401,1391,10,83.6,27.0,223.0,231.0,29.0,51.0,20.0,163.0,250.0,39.0,77.0,96.0,204.0,263.0,74.0,39.0,35.0,110.0,257.0
8,8,323867,0,2,59,479,76,0,89813.0,60858800,147,118,106071.0,51500.0,49542.0,52188.0,308,S,60590631032,15000US060590631032,33.6405237,-117.9023163,G5030,Block Group 2,962,6,468489.2265625,2903.301644536669,63103,307,172,307,243,0,51,37,155,64,304913500.0,252013500.0,52900000.0,1300,590,710,41.9,,,41.5,,62.5,18.2,45.0,33.2,41.5,43.4,39.9,1300,1143,11,9,38,0,41,58,1300,479,1248,244,1000,62,6,1242,1232,10,82.3,49.0,189.0,115.0,77.0,54.0,33.0,182.0,187.0,58.0,56.0,142.0,338.0,174.0,41.0,70.0,65.0,68.0,159.0
9,9,342997,0,1,59,484,68,19,82188.0,49938000,104,30,,32692.0,61111.0,30819.0,324,S,60590632011,15000US060590632011,33.653674,-117.90085859999999,G5030,Block Group 1,963,6,496310.25,3014.912719640931,63201,250,234,250,150,9,16,0,125,100,300220000.0,232670000.0,67550000.0,1222,569,653,33.3,,,28.7,,,28.4,36.8,28.9,32.6,32.2,32.9,1222,1062,9,0,99,0,0,52,1222,484,1134,316,1038,17,46,1088,1048,40,81.8,27.0,233.0,104.0,52.0,36.0,67.0,266.0,165.0,50.0,38.0,127.0,297.0,176.0,54.0,81.0,81.0,127.0,54.0
10,10,337366,0,2,59,457,88,10,93480.0,51474900,62,66,100188.0,52029.0,51163.0,56094.0,298,S,60590632012,15000US060590632012,33.6508524,-117.90357809999999,G5030,Block Group 2,964,6,488130.01953125,2995.99423426878,63201,221,236,221,137,0,0,0,137,84,188825000.0,127150000.0,61675000.0,1192,609,583,34.8,,,58.7,,32.0,10.6,33.8,46.1,35.2,34.0,37.1,1192,1003,18,0,24,0,86,61,1192,457,1174,149,852,22,17,1157,1118,39,83.5,34.0,205.0,172.0,16.0,10.0,27.0,201.0,140.0,19.0,28.0,225.0,277.0,127.0,51.0,79.0,34.0,116.0,79.0
