Unnamed: 0,Unnamed: 0.1,ALAND,AWATER,BLKGRPCE,COUNTYFP,E11B19001e1,E11B19001e10,E11B19001e11,E11B19001e12,E11B19001e13,E11B19001e14,E11B19001e15,E11B19001e16,E11B19001e17,E11B19001e2,E11B19001e3,E11B19001e4,E11B19001e5,E11B19001e6,E11B19001e7,E11B19001e8,E11B19001e9,E11B19013e1,E11B19025e1,E11B19055e2,E11B19059e2,E12B19113e1,E12B20002e1,E12B20002e2,E12B20002e3,E13B19101e1,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE,H07B25003e2,H07B25003e3,H18B25081e1,H18B25081e2,H18B25081e4,H18B25081e5,H18B25081e6,H18B25081e7,H18B25081e8,H18B25082e1,H18B25082e2,H18B25082e3,D01B01001e1,D01B01001e10,D01B01001e11,D01B01001e12,D01B01001e13,D01B01001e14,D01B01001e15,D01B01001e16,D01B01001e17,D01B01001e18,D01B01001e19,D01B01001e2,D01B01001e20,D01B01001e21,D01B01001e22,D01B01001e23,D01B01001e24,D01B01001e25,D01B01001e26,D01B01001e31,D01B01001e32,D01B01001e33,D01B01001e34,D01B01001e35,D01B01001e36,D01B01001e37,D01B01001e38,D01B01001e39,D01B01001e40,D01B01001e41,D01B01001e42,D01B01001e43,D01B01001e44,D01B01001e45,D01B01001e46,D01B01001e47,D01B01001e48,D01B01001e49,D01B01001e7,D01B01001e8,D01B01001e9,D02B01002Ae1,D02B01002Be1,D02B01002Ce1,D02B01002De1,D02B01002Ee1,D02B01002Fe1,D02B01002Ge1,D02B01002He1,D02B01002Ie1,D02B01002e1,D02B01002e2,D02B01002e3,D03B02001e1,D03B02001e2,D03B02001e3,D03B02001e4,D03B02001e5,D03B02001e6,D03B02001e7,D03B02001e8,D04B02001e1,S01B11001e1,S02B09019e2,S07B15003e15,S07B15003e16,S07B15003e17,S07B15003e18,S07B15003e19,S07B15003e20,S07B15003e21,S07B15003e22,S07B15003e23,S07B15003e24,S07B15003e25,S08B21001e1,S08B21001e2,S19B28008e10,S19B28008e2,S19B28008e4,S19B28008e9,Voter_Turnout
0,0,337300,0,3,59,688,24,34,122,83,47,41,32,40,115,12,27,21,12,11,16,51,62019.0,55804400,83,40,64800.0,38958.0,37778.0,40027.0,424,S,60590632013,15000US060590632013,33.6480393,-117.9063376,G5030,Block Group 3,405,6,488002.08203125,2966.66302086031,63201,141,547,141,110,0,23,0,87,31,128300000.0,97100000.0,31200000.0,1682,12,63,117,57,109,54,27,48,16,44,806,0,0,14,10,0,0,876,0,0,10,11,157,54,24,95,58,36,94,38,0,39,5,0,10,0,8,8,0,21,32.9,,,50.0,,39.8,6.9,34.0,34.5,34.2,34.6,32.4,1682,1463,0,0,27,0,117,75,1682,688,1682,54,22,59,0,99,170,136,411,38,38,11,1239,65,0,1682,1605,77,83.5
1,1,686935,0,1,59,1280,85,96,127,262,83,89,247,96,61,0,0,40,23,13,34,24,82353.0,130566800,198,101,111375.0,59471.0,54193.0,65625.0,753,S,60590638071,15000US060590638071,33.6707969,-117.9274147,G5030,Block Group 1,428,6,994370.75390625,4988.51556578565,63807,301,979,301,202,41,63,0,98,99,260495000.0,187350000.0,73145000.0,2999,34,77,78,159,117,238,71,88,0,57,1378,39,13,28,48,12,12,1621,15,15,0,63,64,348,113,66,131,171,61,8,0,32,36,53,20,12,12,24,25,33,42.3,46.5,,33.7,,,2.7,45.9,32.2,35.9,40.6,33.0,2999,2366,43,0,294,0,12,284,2999,1280,2999,12,42,177,34,108,418,220,810,282,20,10,2373,142,0,2999,2945,54,78.6
2,2,209303,0,2,59,321,0,30,29,17,0,0,21,18,6,105,11,54,0,0,30,0,23924.0,17866200,149,28,38708.0,27750.0,32019.0,20625.0,105,S,60590637022,15000US060590637022,33.6409341,-117.9214514,G5030,Block Group 2,515,6,302768.390625,2518.8818171512803,63702,8,313,8,0,0,0,0,0,8,,,,605,0,77,18,32,0,26,0,8,16,0,275,0,0,18,0,11,27,330,0,0,0,19,52,54,0,8,20,8,14,0,0,0,0,68,28,16,27,0,0,0,48.6,,,34.0,,27.7,,39.0,57.1,39.3,38.0,47.8,605,464,0,0,55,0,86,0,605,321,605,0,18,91,0,54,53,72,112,92,28,0,547,18,111,494,327,167,75.8
3,3,323900,0,2,59,417,26,0,31,40,75,77,35,59,0,0,0,47,9,18,0,0,112132.0,62904600,79,46,114635.0,55281.0,54653.0,55408.0,223,S,60590633022,15000US060590633022,33.6321488,-117.9106383,G5030,Block Group 2,641,6,468443.37109375,2903.0186245715804,63302,86,331,86,49,9,9,0,31,37,82280000.0,48500000.0,33780000.0,937,14,95,51,23,99,83,66,20,4,8,554,28,0,20,12,0,0,383,0,11,10,27,40,126,35,11,20,17,8,17,9,0,26,18,8,0,0,0,0,0,41.1,,,,,,,37.3,43.0,40.4,42.9,34.4,937,912,0,0,15,0,10,0,937,417,937,0,7,114,17,69,150,43,293,131,20,0,906,10,4,933,927,6,100.0
4,4,323906,0,1,59,370,9,37,54,38,26,7,35,122,7,17,0,0,0,0,9,9,106250.0,51478600,114,56,153846.0,66620.0,,49583.0,232,S,60590633021,15000US060590633021,33.6349404,-117.90786509999998,G5030,Block Group 1,754,6,468483.8046875,2903.205470934249,63302,300,70,300,137,0,14,0,123,163,415600000.0,169550000.0,246050000.0,903,0,0,8,24,51,9,76,38,8,30,477,0,19,28,27,0,0,426,14,0,0,0,22,7,72,10,0,35,23,20,7,9,19,19,9,20,29,0,8,0,42.6,,,,,,,42.6,60.4,42.4,42.9,39.6,903,875,3,0,15,0,0,10,903,370,896,0,9,76,0,44,54,32,282,103,10,9,641,37,65,831,805,26,67.6
5,5,501825,0,1,59,792,0,79,50,67,76,50,117,112,62,0,51,27,39,0,62,0,82750.0,90882400,192,127,106667.0,54179.0,53425.0,57560.0,394,S,60590631021,15000US060590631021,33.6608928,-117.89088429999998,G5030,Block Group 1,959,6,726249.3359375,3991.4616014798,63102,385,407,385,333,0,0,0,333,52,301615000.0,262125000.0,39490000.0,1881,0,52,120,25,110,48,62,16,0,82,846,10,20,10,0,0,102,1035,12,0,22,36,47,35,86,65,105,61,82,27,19,11,45,24,7,0,9,0,0,14,41.4,,,39.1,,26.2,39.3,41.7,22.8,39.2,41.5,36.2,1881,1588,6,18,38,0,148,83,1881,792,1838,5,7,268,32,26,319,92,248,197,32,15,1364,99,83,1755,1755,0,84.5
6,6,342498,0,3,59,559,0,53,15,18,68,57,27,108,1,101,24,35,18,13,0,21,74750.0,69949600,69,98,111204.0,55184.0,56905.0,51507.0,202,S,60590631023,15000US060590631023,33.656460700000004,-117.8980854,G5030,Block Group 3,960,6,495617.58203125,3012.17315977008,63102,207,352,207,200,0,0,0,200,7,,,,1145,29,17,71,18,57,96,57,69,60,18,638,0,7,7,19,0,5,507,14,13,28,17,0,32,102,65,0,55,10,0,76,0,7,0,34,6,0,16,15,0,44.3,,,,,45.0,,47.4,42.0,44.1,45.4,39.0,1145,1016,0,0,15,0,101,13,1145,559,1145,0,0,58,21,19,220,86,296,135,21,18,1020,25,60,1085,1037,48,81.05
7,7,647325,0,1,59,582,19,16,19,54,40,70,103,154,13,9,55,10,0,10,0,10,132143.0,93690700,166,125,171618.0,60729.0,76172.0,37880.0,366,S,60590631031,15000US060590631031,33.6459862,-117.8982997,G5030,Block Group 1,961,6,936501.16015625,4848.38041865676,63103,426,156,426,267,0,95,0,172,159,552465000.0,402475000.0,149990000.0,1409,9,0,65,45,113,55,55,72,15,34,723,10,10,9,42,9,0,686,8,0,0,12,29,0,117,17,59,59,99,24,9,9,0,30,19,39,19,18,0,0,44.9,,,53.7,,,8.3,44.8,45.2,44.3,42.9,46.4,1409,1311,0,0,26,0,0,72,1409,582,1409,0,5,91,23,7,90,84,490,188,75,0,1110,39,8,1401,1391,10,83.6
8,8,323867,0,2,59,479,0,27,38,76,29,39,49,110,0,17,18,6,10,29,20,11,89813.0,60858800,147,118,106071.0,51500.0,49542.0,52188.0,308,S,60590631032,15000US060590631032,33.6405237,-117.9023163,G5030,Block Group 2,962,6,468489.2265625,2903.3016445366693,63103,307,172,307,243,0,51,37,155,64,304913500.0,252013500.0,52900000.0,1300,11,59,40,27,63,53,14,16,32,0,590,10,10,57,22,22,10,710,33,0,0,0,39,30,61,52,55,70,17,8,37,7,19,32,26,10,20,21,17,0,41.9,,,41.5,,62.5,18.2,45.0,33.2,41.5,43.4,39.9,1300,1143,11,9,38,0,41,58,1300,479,1248,8,9,125,37,54,191,56,244,141,26,7,1000,62,6,1242,1232,10,82.3
9,9,342997,0,1,59,484,36,9,72,68,117,10,17,37,19,18,23,13,11,0,13,21,82188.0,49938000,104,30,,32692.0,61111.0,30819.0,324,S,60590632011,15000US060590632011,33.653674,-117.9008586,G5030,Block Group 1,963,6,496310.25,3014.912719640931,63201,250,234,250,150,9,16,0,125,100,300220000.0,232670000.0,67550000.0,1222,0,88,77,60,8,11,31,14,11,37,569,0,17,35,16,0,20,653,26,0,18,23,133,96,21,16,11,10,83,9,52,31,0,19,27,0,11,27,0,0,33.3,,,28.7,,,28.4,36.8,28.9,32.6,32.2,32.9,1222,1062,9,0,99,0,0,52,1222,484,1134,0,10,117,5,45,214,33,316,93,61,22,1038,17,46,1088,1048,40,81.8
