,ALAND,AWATER,BLKGRPCE,COUNTYFP,D01B01001e1,D01B01001e10,D01B01001e11,D01B01001e12,D01B01001e13,D01B01001e14,D01B01001e15,D01B01001e16,D01B01001e17,D01B01001e18,D01B01001e19,D01B01001e2,D01B01001e20,D01B01001e21,D01B01001e22,D01B01001e23,D01B01001e24,D01B01001e25,D01B01001e26,D01B01001e31,D01B01001e32,D01B01001e33,D01B01001e34,D01B01001e35,D01B01001e36,D01B01001e37,D01B01001e38,D01B01001e39,D01B01001e40,D01B01001e41,D01B01001e42,D01B01001e43,D01B01001e44,D01B01001e45,D01B01001e46,D01B01001e47,D01B01001e48,D01B01001e49,D01B01001e7,D01B01001e8,D01B01001e9,D02B01002Ae1,D02B01002Be1,D02B01002Ce1,D02B01002De1,D02B01002Ee1,D02B01002Fe1,D02B01002Ge1,D02B01002He1,D02B01002Ie1,D02B01002e1,D02B01002e2,D02B01002e3,D03B02001e1,D03B02001e2,D03B02001e3,D03B02001e4,D03B02001e5,D03B02001e6,D03B02001e7,D03B02001e8,D04B02001e1,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE
0,337300,0,3,059,1682,12,63,117,57,109,54,27,48,16,44,806,0,0,14,10,0,0,876,0,0,10,11,157,54,24,95,58,36,94,38,0,39,5,0,10,0,8,8,0,21,32.9,,,50.0,,39.8,6.9,34.0,34.5,34.2,34.6,32.4,1682,1463,0,0,27,0,117,75,1682,S,060590632013,15000US060590632013,+33.6480393,-117.9063376,G5030,Block Group 3,405,06,488002.08203125,2966.66302086031,063201
1,686935,0,1,059,2999,34,77,78,159,117,238,71,88,0,57,1378,39,13,28,48,12,12,1621,15,15,0,63,64,348,113,66,131,171,61,8,0,32,36,53,20,12,12,24,25,33,42.3,46.5,,33.7,,,2.7,45.9,32.2,35.9,40.6,33.0,2999,2366,43,0,294,0,12,284,2999,S,060590638071,15000US060590638071,+33.6707969,-117.9274147,G5030,Block Group 1,428,06,994370.75390625,4988.51556578565,063807
2,209303,0,2,059,605,0,77,18,32,0,26,0,8,16,0,275,0,0,18,0,11,27,330,0,0,0,19,52,54,0,8,20,8,14,0,0,0,0,68,28,16,27,0,0,0,48.6,,,34.0,,27.7,,39.0,57.1,39.3,38.0,47.8,605,464,0,0,55,0,86,0,605,S,060590637022,15000US060590637022,+33.6409341,-117.9214514,G5030,Block Group 2,515,06,302768.390625,2518.88181715128,063702
3,323900,0,2,059,937,14,95,51,23,99,83,66,20,4,8,554,28,0,20,12,0,0,383,0,11,10,27,40,126,35,11,20,17,8,17,9,0,26,18,8,0,0,0,0,0,41.1,,,,,,,37.3,43.0,40.4,42.9,34.4,937,912,0,0,15,0,10,0,937,S,060590633022,15000US060590633022,+33.6321488,-117.9106383,G5030,Block Group 2,641,06,468443.37109375,2903.01862457158,063302
4,323906,0,1,059,903,0,0,8,24,51,9,76,38,8,30,477,0,19,28,27,0,0,426,14,0,0,0,22,7,72,10,0,35,23,20,7,9,19,19,9,20,29,0,8,0,42.6,,,,,,,42.6,60.4,42.4,42.9,39.6,903,875,3,0,15,0,0,10,903,S,060590633021,15000US060590633021,+33.6349404,-117.9078651,G5030,Block Group 1,754,06,468483.8046875,2903.20547093425,063302
5,501825,0,1,059,1881,0,52,120,25,110,48,62,16,0,82,846,10,20,10,0,0,102,1035,12,0,22,36,47,35,86,65,105,61,82,27,19,11,45,24,7,0,9,0,0,14,41.4,,,39.1,,26.2,39.3,41.7,22.8,39.2,41.5,36.2,1881,1588,6,18,38,0,148,83,1881,S,060590631021,15000US060590631021,+33.6608928,-117.8908843,G5030,Block Group 1,959,06,726249.3359375,3991.4616014798,063102
6,342498,0,3,059,1145,29,17,71,18,57,96,57,69,60,18,638,0,7,7,19,0,5,507,14,13,28,17,0,32,102,65,0,55,10,0,76,0,7,0,34,6,0,16,15,0,44.3,,,,,45.0,,47.4,42.0,44.1,45.4,39.0,1145,1016,0,0,15,0,101,13,1145,S,060590631023,15000US060590631023,+33.6564607,-117.8980854,G5030,Block Group 3,960,06,495617.58203125,3012.17315977008,063102
7,647325,0,1,059,1409,9,0,65,45,113,55,55,72,15,34,723,10,10,9,42,9,0,686,8,0,0,12,29,0,117,17,59,59,99,24,9,9,0,30,19,39,19,18,0,0,44.9,,,53.7,,,8.3,44.8,45.2,44.3,42.9,46.4,1409,1311,0,0,26,0,0,72,1409,S,060590631031,15000US060590631031,+33.6459862,-117.8982997,G5030,Block Group 1,961,06,936501.16015625,4848.38041865676,063103
8,323867,0,2,059,1300,11,59,40,27,63,53,14,16,32,0,590,10,10,57,22,22,10,710,33,0,0,0,39,30,61,52,55,70,17,8,37,7,19,32,26,10,20,21,17,0,41.9,,,41.5,,62.5,18.2,45.0,33.2,41.5,43.4,39.9,1300,1143,11,9,38,0,41,58,1300,S,060590631032,15000US060590631032,+33.6405237,-117.9023163,G5030,Block Group 2,962,06,468489.2265625,2903.30164453667,063103
9,342997,0,1,059,1222,0,88,77,60,8,11,31,14,11,37,569,0,17,35,16,0,20,653,26,0,18,23,133,96,21,16,11,10,83,9,52,31,0,19,27,0,11,27,0,0,33.3,,,28.7,,,28.4,36.8,28.9,32.6,32.2,32.9,1222,1062,9,0,99,0,0,52,1222,S,060590632011,15000US060590632011,+33.6536740,-117.9008586,G5030,Block Group 1,963,06,496310.25,3014.91271964093,063201
