,ALAND,AWATER,BLKGRPCE,COUNTYFP,E11B19001e1,E11B19001e10,E11B19001e11,E11B19001e12,E11B19001e13,E11B19001e14,E11B19001e15,E11B19001e16,E11B19001e17,E11B19001e2,E11B19001e3,E11B19001e4,E11B19001e5,E11B19001e6,E11B19001e7,E11B19001e8,E11B19001e9,E11B19013e1,E11B19025e1,E11B19055e2,E11B19059e2,E12B19113e1,E12B20002e1,E12B20002e2,E12B20002e3,E13B19101e1,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE
0,337300,0,3,059,688,24,34,122,83,47,41,32,40,115,12,27,21,12,11,16,51,62019.0,55804400,83,40,64800.0,38958.0,37778.0,40027.0,424,S,060590632013,15000US060590632013,+33.6480393,-117.9063376,G5030,Block Group 3,405,06,488002.08203125,2966.66302086031,063201
1,686935,0,1,059,1280,85,96,127,262,83,89,247,96,61,0,0,40,23,13,34,24,82353.0,130566800,198,101,111375.0,59471.0,54193.0,65625.0,753,S,060590638071,15000US060590638071,+33.6707969,-117.9274147,G5030,Block Group 1,428,06,994370.75390625,4988.51556578565,063807
2,209303,0,2,059,321,0,30,29,17,0,0,21,18,6,105,11,54,0,0,30,0,23924.0,17866200,149,28,38708.0,27750.0,32019.0,20625.0,105,S,060590637022,15000US060590637022,+33.6409341,-117.9214514,G5030,Block Group 2,515,06,302768.390625,2518.88181715128,063702
3,323900,0,2,059,417,26,0,31,40,75,77,35,59,0,0,0,47,9,18,0,0,112132.0,62904600,79,46,114635.0,55281.0,54653.0,55408.0,223,S,060590633022,15000US060590633022,+33.6321488,-117.9106383,G5030,Block Group 2,641,06,468443.37109375,2903.01862457158,063302
4,323906,0,1,059,370,9,37,54,38,26,7,35,122,7,17,0,0,0,0,9,9,106250.0,51478600,114,56,153846.0,66620.0,,49583.0,232,S,060590633021,15000US060590633021,+33.6349404,-117.9078651,G5030,Block Group 1,754,06,468483.8046875,2903.20547093425,063302
5,501825,0,1,059,792,0,79,50,67,76,50,117,112,62,0,51,27,39,0,62,0,82750.0,90882400,192,127,106667.0,54179.0,53425.0,57560.0,394,S,060590631021,15000US060590631021,+33.6608928,-117.8908843,G5030,Block Group 1,959,06,726249.3359375,3991.4616014798,063102
6,342498,0,3,059,559,0,53,15,18,68,57,27,108,1,101,24,35,18,13,0,21,74750.0,69949600,69,98,111204.0,55184.0,56905.0,51507.0,202,S,060590631023,15000US060590631023,+33.6564607,-117.8980854,G5030,Block Group 3,960,06,495617.58203125,3012.17315977008,063102
7,647325,0,1,059,582,19,16,19,54,40,70,103,154,13,9,55,10,0,10,0,10,132143.0,93690700,166,125,171618.0,60729.0,76172.0,37880.0,366,S,060590631031,15000US060590631031,+33.6459862,-117.8982997,G5030,Block Group 1,961,06,936501.16015625,4848.38041865676,063103
8,323867,0,2,059,479,0,27,38,76,29,39,49,110,0,17,18,6,10,29,20,11,89813.0,60858800,147,118,106071.0,51500.0,49542.0,52188.0,308,S,060590631032,15000US060590631032,+33.6405237,-117.9023163,G5030,Block Group 2,962,06,468489.2265625,2903.30164453667,063103
9,342997,0,1,059,484,36,9,72,68,117,10,17,37,19,18,23,13,11,0,13,21,82188.0,49938000,104,30,,32692.0,61111.0,30819.0,324,S,060590632011,15000US060590632011,+33.6536740,-117.9008586,G5030,Block Group 1,963,06,496310.25,3014.91271964093,063201
