,ALAND,AWATER,BLKGRPCE,COUNTYFP,FUNCSTAT,GEOID,GEOID_Data,H07B25003e2,H07B25003e3,H18B25081e1,H18B25081e2,H18B25081e4,H18B25081e5,H18B25081e6,H18B25081e7,H18B25081e8,H18B25082e1,H18B25082e2,H18B25082e3,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE
0,337300,0,3,059,S,060590632013,15000US060590632013,141,547,141,110,0,23,0,87,31,128300000.0,97100000.0,31200000.0,+33.6480393,-117.9063376,G5030,Block Group 3,405,06,488002.08203125,2966.66302086031,063201
1,686935,0,1,059,S,060590638071,15000US060590638071,301,979,301,202,41,63,0,98,99,260495000.0,187350000.0,73145000.0,+33.6707969,-117.9274147,G5030,Block Group 1,428,06,994370.75390625,4988.51556578565,063807
2,209303,0,2,059,S,060590637022,15000US060590637022,8,313,8,0,0,0,0,0,8,,,,+33.6409341,-117.9214514,G5030,Block Group 2,515,06,302768.390625,2518.88181715128,063702
3,323900,0,2,059,S,060590633022,15000US060590633022,86,331,86,49,9,9,0,31,37,82280000.0,48500000.0,33780000.0,+33.6321488,-117.9106383,G5030,Block Group 2,641,06,468443.37109375,2903.01862457158,063302
4,323906,0,1,059,S,060590633021,15000US060590633021,300,70,300,137,0,14,0,123,163,415600000.0,169550000.0,246050000.0,+33.6349404,-117.9078651,G5030,Block Group 1,754,06,468483.8046875,2903.20547093425,063302
5,501825,0,1,059,S,060590631021,15000US060590631021,385,407,385,333,0,0,0,333,52,301615000.0,262125000.0,39490000.0,+33.6608928,-117.8908843,G5030,Block Group 1,959,06,726249.3359375,3991.4616014798,063102
6,342498,0,3,059,S,060590631023,15000US060590631023,207,352,207,200,0,0,0,200,7,,,,+33.6564607,-117.8980854,G5030,Block Group 3,960,06,495617.58203125,3012.17315977008,063102
7,647325,0,1,059,S,060590631031,15000US060590631031,426,156,426,267,0,95,0,172,159,552465000.0,402475000.0,149990000.0,+33.6459862,-117.8982997,G5030,Block Group 1,961,06,936501.16015625,4848.38041865676,063103
8,323867,0,2,059,S,060590631032,15000US060590631032,307,172,307,243,0,51,37,155,64,304913500.0,252013500.0,52900000.0,+33.6405237,-117.9023163,G5030,Block Group 2,962,06,468489.2265625,2903.30164453667,063103
9,342997,0,1,059,S,060590632011,15000US060590632011,250,234,250,150,9,16,0,125,100,300220000.0,232670000.0,67550000.0,+33.6536740,-117.9008586,G5030,Block Group 1,963,06,496310.25,3014.91271964093,063201
10,337366,0,2,059,S,060590632012,15000US060590632012,221,236,221,137,0,0,0,137,84,188825000.0,127150000.0,61675000.0,+33.6508524,-117.9035781,G5030,Block Group 2,964,06,488130.01953125,2995.99423426878,063201
11,132398,0,1,059,S,060590632021,15000US060590632021,116,212,116,76,20,0,0,56,40,68085000.0,58500000.0,9585000.0,+33.6468334,-117.9108849,G5030,Block Group 1,965,06,191546.61328125,2012.43491449782,063202
12,331171,0,2,059,S,060590632022,15000US060590632022,210,182,210,160,0,8,0,152,50,171290000.0,132350000.0,38940000.0,+33.6424291,-117.9118259,G5030,Block Group 2,966,06,479076.22265625,2947.49050366808,063202
13,324028,0,3,059,S,060590632023,15000US060590632023,283,59,283,181,0,36,0,145,102,385130000.0,203780000.0,181350000.0,+33.6377321,-117.9050905,G5030,Block Group 3,967,06,468693.77734375,2903.58315346102,063202
14,203597,0,4,059,S,060590632024,15000US060590632024,167,225,167,112,0,0,0,112,55,159914000.0,106200000.0,53714000.0,+33.6442198,-117.9079689,G5030,Block Group 4,968,06,294537.91015625,2420.80879078101,063202
15,330599,0,1,059,S,060590633011,15000US060590633011,65,497,65,47,0,38,0,9,18,,,,+33.6393712,-117.9176214,G5030,Block Group 1,969,06,478214.859375,2896.05629529304,063301
