,ALAND,AWATER,BLKGRPCE,COUNTYFP,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,S01B11001e1,S02B09019e2,S07B15003e15,S07B15003e16,S07B15003e17,S07B15003e18,S07B15003e19,S07B15003e20,S07B15003e21,S07B15003e22,S07B15003e23,S07B15003e24,S07B15003e25,S08B21001e1,S08B21001e2,S19B28008e10,S19B28008e2,S19B28008e4,S19B28008e9,STATEFP,Shape__Area,Shape__Length,TRACTCE
0,337300,0,3,059,S,060590632013,15000US060590632013,+33.6480393,-117.9063376,G5030,Block Group 3,405,688,1682,54,22,59,0,99,170,136,411,38,38,11,1239,65,0,1682,1605,77,06,488002.08203125,2966.66302086031,063201
1,686935,0,1,059,S,060590638071,15000US060590638071,+33.6707969,-117.9274147,G5030,Block Group 1,428,1280,2999,12,42,177,34,108,418,220,810,282,20,10,2373,142,0,2999,2945,54,06,994370.75390625,4988.51556578565,063807
2,209303,0,2,059,S,060590637022,15000US060590637022,+33.6409341,-117.9214514,G5030,Block Group 2,515,321,605,0,18,91,0,54,53,72,112,92,28,0,547,18,111,494,327,167,06,302768.390625,2518.88181715128,063702
3,323900,0,2,059,S,060590633022,15000US060590633022,+33.6321488,-117.9106383,G5030,Block Group 2,641,417,937,0,7,114,17,69,150,43,293,131,20,0,906,10,4,933,927,6,06,468443.37109375,2903.01862457158,063302
4,323906,0,1,059,S,060590633021,15000US060590633021,+33.6349404,-117.9078651,G5030,Block Group 1,754,370,896,0,9,76,0,44,54,32,282,103,10,9,641,37,65,831,805,26,06,468483.8046875,2903.20547093425,063302
5,501825,0,1,059,S,060590631021,15000US060590631021,+33.6608928,-117.8908843,G5030,Block Group 1,959,792,1838,5,7,268,32,26,319,92,248,197,32,15,1364,99,83,1755,1755,0,06,726249.3359375,3991.4616014798,063102
6,342498,0,3,059,S,060590631023,15000US060590631023,+33.6564607,-117.8980854,G5030,Block Group 3,960,559,1145,0,0,58,21,19,220,86,296,135,21,18,1020,25,60,1085,1037,48,06,495617.58203125,3012.17315977008,063102
7,647325,0,1,059,S,060590631031,15000US060590631031,+33.6459862,-117.8982997,G5030,Block Group 1,961,582,1409,0,5,91,23,7,90,84,490,188,75,0,1110,39,8,1401,1391,10,06,936501.16015625,4848.38041865676,063103
8,323867,0,2,059,S,060590631032,15000US060590631032,+33.6405237,-117.9023163,G5030,Block Group 2,962,479,1248,8,9,125,37,54,191,56,244,141,26,7,1000,62,6,1242,1232,10,06,468489.2265625,2903.30164453667,063103
9,342997,0,1,059,S,060590632011,15000US060590632011,+33.6536740,-117.9008586,G5030,Block Group 1,963,484,1134,0,10,117,5,45,214,33,316,93,61,22,1038,17,46,1088,1048,40,06,496310.25,3014.91271964093,063201
10,337366,0,2,059,S,060590632012,15000US060590632012,+33.6508524,-117.9035781,G5030,Block Group 2,964,457,1174,0,23,202,0,26,153,98,149,90,7,30,852,22,17,1157,1118,39,06,488130.01953125,2995.99423426878,063201
11,132398,0,1,059,S,060590632021,15000US060590632021,+33.6468334,-117.9108849,G5030,Block Group 1,965,328,834,0,9,103,9,55,69,20,98,65,46,20,605,26,19,815,532,283,06,191546.61328125,2012.43491449782,063202
12,331171,0,2,059,S,060590632022,15000US060590632022,+33.6424291,-117.9118259,G5030,Block Group 2,966,392,930,0,0,167,0,65,204,32,197,97,0,0,815,68,54,876,816,60,06,479076.22265625,2947.49050366808,063202
13,324028,0,3,059,S,060590632023,15000US060590632023,+33.6377321,-117.9050905,G5030,Block Group 3,967,342,968,0,0,32,0,48,123,47,335,97,15,10,757,29,0,968,968,0,06,468693.77734375,2903.58315346102,063202
14,203597,0,4,059,S,060590632024,15000US060590632024,+33.6442198,-117.9079689,G5030,Block Group 4,968,392,1008,0,13,87,9,95,62,67,277,49,17,0,885,15,50,958,948,10,06,294537.91015625,2420.80879078101,063202
15,330599,0,1,059,S,060590633011,15000US060590633011,+33.6393712,-117.9176214,G5030,Block Group 1,969,562,988,0,0,44,0,48,227,52,419,74,11,10,928,59,45,943,904,39,06,478214.859375,2896.05629529304,063301
16,324236,0,2,059,S,060590633012,15000US060590633012,+33.6370234,-117.9142547,G5030,Block Group 2,970,484,1094,0,9,59,0,52,101,65,368,81,51,0,859,48,15,1079,1027,44,06,468984.76953125,2905.83141063024,063301
17,380971,0,3,059,S,060590633023,15000US060590633023,+33.6292900,-117.9201115,G5030,Block Group 3,971,542,1421,13,23,90,26,12,88,67,523,174,9,0,1092,85,0,1421,1421,0,06,550948.453125,3281.49320609435,063302
18,323917,0,4,059,S,060590633024,15000US060590633024,+33.6293578,-117.9134124,G5030,Block Group 4,972,392,1154,0,9,43,15,42,131,57,247,75,34,0,900,31,20,1134,1125,9,06,468439.7578125,2903.303004156,063302
19,323506,0,4,059,S,060590631024,15000US060590631024,+33.6542429,-117.8915047,G5030,Block Group 4,1074,715,1647,15,14,1,28,19,323,205,384,170,109,30,1413,154,2,1645,1645,0,06,468116.16015625,2927.43003187623,063102
20,488673,0,2,059,S,060590636012,15000US060590636012,+33.6475670,-117.9348143,G5030,Block Group 2,1215,412,1049,0,11,78,25,25,214,91,234,77,0,8,954,52,42,1007,973,34,06,707002.64453125,4618.91120720915,063601
21,160457,0,3,059,S,060590636013,15000US060590636013,+33.6455814,-117.9434765,G5030,Block Group 3,1216,315,765,0,0,0,0,8,181,29,166,62,38,9,559,58,0,765,765,0,06,232134.95703125,1972.1569290477,063601
22,485775,0,1,059,S,060590636041,15000US060590636041,+33.6379091,-117.9340825,G5030,Block Group 1,1220,482,1667,35,80,55,19,39,38,68,184,18,16,37,1159,54,277,1390,1344,46,06,702654.6953125,3875.97794923857,063604
23,715930,0,2,059,S,060590636042,15000US060590636042,+33.6386121,-117.9396628,G5030,Block Group 2,1221,1055,2708,0,86,385,39,105,275,87,519,112,29,15,2148,84,164,2544,2382,26,06,1035578.00390625,4264.05311608819,063604
