,ALAND,AWATER,BLKGRPCE,COUNTYFP,FUNCSTAT,GEOID,GEOID_Data,H01B25002e1,H01B25002e2,H01B25002e3,H02B25024e1,H02B25024e10,H02B25024e11,H02B25024e2,H02B25024e3,H02B25024e4,H02B25024e5,H02B25024e6,H02B25024e7,H02B25024e8,H02B25024e9,H03B25033e1,H03B25033e10,H03B25033e11,H03B25033e12,H03B25033e13,H03B25033e2,H03B25033e3,H03B25033e4,H03B25033e5,H03B25033e6,H03B25033e7,H03B25033e8,H03B25033e9,H04B25034e1,H04B25034e10,H04B25034e11,H04B25034e2,H04B25034e3,H04B25034e4,H04B25034e5,H04B25034e6,H04B25034e7,H04B25034e8,H04B25034e9,H04B25035e1,H04B25037e1,H04B25037e2,H04B25037e3,H05B25017e1,H05B25017e10,H05B25017e2,H05B25017e3,H05B25017e4,H05B25017e5,H05B25017e6,H05B25017e7,H05B25017e8,H05B25017e9,H05B25018e1,H05B25019e1,H05B25021e1,H05B25021e2,H05B25021e3,H05B25022e1,H05B25022e2,H05B25022e3,H06B25041e1,H06B25041e2,H06B25041e3,H06B25041e4,H06B25041e5,H06B25041e6,H06B25041e7,H06B25042e10,H06B25042e11,H06B25042e12,H06B25042e13,H06B25042e14,H06B25042e15,H06B25042e3,H06B25042e4,H06B25042e5,H06B25042e6,H06B25042e7,H06B25042e8,H06B25042e9,H07B25003Ae1,H07B25003Ae2,H07B25003Ae3,H07B25003Be1,H07B25003Be2,H07B25003Be3,H07B25003Ce1,H07B25003Ce2,H07B25003Ce3,H07B25003De1,H07B25003De2,H07B25003De3,H07B25003Ee1,H07B25003Ee2,H07B25003Ee3,H07B25003Fe1,H07B25003Fe2,H07B25003Fe3,H07B25003Ge1,H07B25003Ge2,H07B25003Ge3,H07B25003He1,H07B25003He2,H07B25003He3,H07B25003Ie1,H07B25003Ie2,H07B25003Ie3,H07B25003e1,H07B25003e2,H07B25003e3,H07B25007e10,H07B25007e11,H07B25007e13,H07B25007e14,H07B25007e15,H07B25007e16,H07B25007e17,H07B25007e18,H07B25007e19,H07B25007e20,H07B25007e21,H07B25007e3,H07B25007e4,H07B25007e5,H07B25007e6,H07B25007e7,H07B25007e8,H07B25007e9,H07B25010e1,H07B25010e2,H07B25010e3,H08B25008e1,H08B25008e2,H08B25008e3,H09B25004e1,H09B25004e2,H09B25004e3,H09B25004e4,H09B25004e5,H09B25004e6,H09B25004e7,H09B25004e8,H10B25006e1,H10B25006e2,H10B25006e3,H10B25006e4,H10B25006e5,H10B25006e6,H10B25006e7,H10B25006e8,H11B25038e1,H11B25038e10,H11B25038e11,H11B25038e12,H11B25038e13,H11B25038e14,H11B25038e15,H11B25038e2,H11B25038e3,H11B25038e4,H11B25038e5,H11B25038e6,H11B25038e7,H11B25038e8,H11B25038e9,H11B25039e1,H11B25039e2,H11B25039e3,H12B25044e1,H12B25044e10,H12B25044e11,H12B25044e12,H12B25044e13,H12B25044e14,H12B25044e15,H12B25044e2,H12B25044e3,H12B25044e4,H12B25044e5,H12B25044e6,H12B25044e7,H12B25044e8,H12B25044e9,H12B25046e1,H12B25046e2,H12B25046e3,H13B25040e1,H13B25040e10,H13B25040e2,H13B25040e3,H13B25040e4,H13B25040e5,H13B25040e6,H13B25040e7,H13B25040e8,H13B25040e9,H14B25016e1,H14B25016e11,H14B25016e16,H14B25016e2,H14B25016e7,H14B25043e16,H14B25043e7,H14B25053e4,H14B25053e7,H15B25014e1,H15B25014e10,H15B25014e11,H15B25014e12,H15B25014e13,H15B25014e2,H15B25014e3,H15B25014e4,H15B25014e5,H15B25014e6,H15B25014e7,H15B25014e8,H15B25014e9,H16B25075e1,H16B25075e10,H16B25075e11,H16B25075e12,H16B25075e13,H16B25075e14,H16B25075e15,H16B25075e16,H16B25075e17,H16B25075e18,H16B25075e19,H16B25075e2,H16B25075e20,H16B25075e21,H16B25075e22,H16B25075e23,H16B25075e24,H16B25075e25,H16B25075e26,H16B25075e27,H16B25075e3,H16B25075e4,H16B25075e5,H16B25075e6,H16B25075e7,H16B25075e8,H16B25075e9,H16B25076e1,H16B25077e1,H16B25078e1,H16B25079e1,H16B25083e1,H17B25085e1,H17B25085e10,H17B25085e11,H17B25085e12,H17B25085e13,H17B25085e14,H17B25085e15,H17B25085e16,H17B25085e17,H17B25085e18,H17B25085e19,H17B25085e2,H17B25085e20,H17B25085e21,H17B25085e22,H17B25085e23,H17B25085e24,H17B25085e25,H17B25085e26,H17B25085e27,H17B25085e3,H17B25085e4,H17B25085e5,H17B25085e6,H17B25085e7,H17B25085e8,H17B25085e9,H17B25086e1,H18B25081e1,H18B25081e2,H18B25081e4,H18B25081e5,H18B25081e6,H18B25081e7,H18B25081e8,H18B25082e1,H18B25082e2,H18B25082e3,H19B25087e1,H19B25087e10,H19B25087e11,H19B25087e12,H19B25087e13,H19B25087e14,H19B25087e15,H19B25087e16,H19B25087e17,H19B25087e18,H19B25087e19,H19B25087e2,H19B25087e20,H19B25087e21,H19B25087e22,H19B25087e23,H19B25087e24,H19B25087e25,H19B25087e26,H19B25087e27,H19B25087e28,H19B25087e29,H19B25087e3,H19B25087e30,H19B25087e31,H19B25087e32,H19B25087e33,H19B25087e34,H19B25087e35,H19B25087e36,H19B25087e37,H19B25087e38,H19B25087e39,H19B25087e4,H19B25087e5,H19B25087e6,H19B25087e7,H19B25087e8,H19B25087e9,H19B25088e1,H19B25088e2,H19B25088e3,H19B25089e1,H19B25089e2,H19B25089e3,H20B25091e1,H20B25091e10,H20B25091e11,H20B25091e12,H20B25091e13,H20B25091e14,H20B25091e15,H20B25091e16,H20B25091e17,H20B25091e18,H20B25091e19,H20B25091e2,H20B25091e20,H20B25091e21,H20B25091e22,H20B25091e23,H20B25091e3,H20B25091e4,H20B25091e5,H20B25091e6,H20B25091e7,H20B25091e8,H20B25091e9,H20B25092e1,H20B25092e2,H20B25092e3,H21B25056e2,H21B25057e1,H21B25058e1,H21B25059e1,H21B25060e1,H21B25061e1,H21B25062e1,H22B25063e10,H22B25063e11,H22B25063e12,H22B25063e13,H22B25063e14,H22B25063e15,H22B25063e16,H22B25063e17,H22B25063e18,H22B25063e19,H22B25063e2,H22B25063e20,H22B25063e21,H22B25063e22,H22B25063e23,H22B25063e24,H22B25063e25,H22B25063e26,H22B25063e27,H22B25063e3,H22B25063e4,H22B25063e5,H22B25063e6,H22B25063e7,H22B25063e8,H22B25063e9,H22B25064e1,H22B25065e1,H23B25070e1,H23B25070e10,H23B25070e11,H23B25070e2,H23B25070e3,H23B25070e4,H23B25070e5,H23B25070e6,H23B25070e7,H23B25070e8,H23B25070e9,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE
0,337300,0,3,059,S,060590632013,15000US060590632013,743,688,55,743,0,0,313,67,38,52,40,96,79,58,1682,180,509,0,0,495,495,0,0,0,0,1187,498,743,13,10,0,0,14,71,68,124,218,225,1966,1967,1957.0,1970.0,743,23,68,89,84,169,151,69,72,18,4.3,3202,4.2,6.3,3.9,2967.0,882.0,2085.0,743,81,196,287,79,86,14,81,173,230,19,44,0,0,0,31,54,42,14,547,630,141,489,0,0,0,0,0,0,0,0,0,0,0,0,58,0,58,0,0,0,525,128,397,163,13,150,688,141,547,10,8,5,152,162,86,50,53,39,0,0,0,14,33,18,35,18,5,2.44,3.51,2.17,1682,495,1187,55,6,0,0,26,23,0,0,688,630,0,0,0,0,58,0,688,0,104,312,106,25,0,141,5,34,30,14,17,41,547,2012.0,2009.0,2012.0,688,0,293,235,19,0,0,141,0,23,65,14,30,9,547,1180.0,360.0,820.0,688,72,401,0,215,0,0,0,0,0,688,547,0,141,0,10,0,0,0,688,226,6,27,0,141,92,32,8,9,0,547,288,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,105,10,12,0,0,0,0,0,0,0,0,800600.0,884500.0,968500.0,,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,,141,110,0,23,0,87,31,128300000.0,97100000.0,31200000.0,141,0,0,0,0,30,0,14,15,23,28,110,31,0,0,0,0,0,5,0,0,18,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2839.0,3367.0,558.0,375300.0,358700.0,16600.0,141,19,0,0,31,13,18,0,0,0,0,110,0,0,0,0,0,14,5,26,9,19,18,23.9,30.3,10.7,468,1244.0,1549.0,1851.0,753600.0,6,,0,0,0,0,0,0,0,0,0,12,468,80,110,202,32,13,0,19,79,0,0,0,0,0,0,0,1579.0,786300.0,547,124,107,0,54,37,20,14,68,47,76,+33.6480393,-117.9063376,G5030,Block Group 3,405,06,488002.08203125,2966.66302086031,063201
1,686935,0,1,059,S,060590638071,15000US060590638071,1318,1280,38,1318,14,0,260,40,0,79,83,270,119,453,2999,178,1828,27,0,910,844,0,66,0,0,2089,56,1318,0,0,63,37,101,74,215,687,141,0,1978,1978,1976.0,1978.0,1318,95,68,133,311,436,11,93,86,85,3.8,5820,3.8,7.8,3.4,5668.0,2356.0,3312.0,1318,81,336,630,19,117,135,81,336,537,11,14,0,0,0,55,8,103,135,979,1040,282,758,33,0,33,0,0,0,164,19,145,0,0,0,12,0,12,31,0,31,903,267,636,149,15,134,1280,301,979,49,0,52,284,244,219,92,0,45,19,24,0,0,44,86,29,50,43,2.34,3.02,2.13,2999,910,2089,38,38,0,0,0,0,0,0,1280,1040,33,0,164,0,12,31,1280,66,345,497,71,0,0,301,0,0,59,111,67,64,979,2013.0,2002.0,2014.0,1280,52,421,440,52,14,0,301,0,37,131,83,12,38,979,2299.0,786.0,1513.0,1280,100,729,0,451,0,0,0,0,0,1280,979,0,301,0,23,0,0,0,1280,291,109,28,0,301,226,75,0,0,0,979,551,301,0,0,0,0,0,0,0,0,0,0,15,0,7,0,40,131,108,0,0,0,0,0,0,0,0,0,775300.0,918900.0,1075800.0,260495000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,301,202,41,63,0,98,99,260495000.0,187350000.0,73145000.0,301,0,0,0,0,0,8,17,54,72,51,202,99,0,0,0,15,0,0,0,31,0,0,0,8,0,0,17,0,21,0,7,0,0,0,0,0,0,0,3245.0,3653.0,,822200.0,743600.0,78600.0,301,7,55,0,99,22,23,12,17,0,0,202,0,8,17,0,0,0,33,19,80,0,8,26.5,28.1,16.9,979,1878.0,2236.0,2621.0,2187500.0,38,,0,0,0,0,0,0,0,0,0,0,979,0,14,209,399,270,12,75,0,0,0,0,0,0,0,0,2334.0,2325600.0,979,272,31,0,71,129,123,104,68,73,108,+33.6707969,-117.9274147,G5030,Block Group 1,428,06,994370.75390625,4988.51556578565,063807
2,209303,0,2,059,S,060590637022,15000US060590637022,337,321,16,337,0,0,16,8,0,18,0,48,36,211,605,61,471,0,0,37,37,0,0,0,0,568,36,337,0,0,0,0,9,96,34,132,45,21,1978,1977,,1977.0,337,0,18,71,196,44,8,0,0,0,2.9,964,2.9,,2.9,,,,337,18,258,61,0,0,0,18,242,53,0,0,0,0,0,8,0,0,0,313,272,0,272,0,0,0,0,0,0,20,0,20,0,0,0,29,8,21,0,0,0,211,0,211,69,8,61,321,8,313,0,0,9,69,21,26,14,16,86,45,27,0,0,0,0,8,0,0,1.88,4.63,1.81,605,37,568,16,16,0,0,0,0,0,0,321,272,0,0,20,0,29,0,321,0,46,170,70,0,27,8,0,0,0,0,8,0,313,2012.0,,2012.0,321,90,155,68,0,0,0,8,0,0,0,0,8,0,313,,,,321,12,186,0,123,0,0,0,0,0,321,313,0,8,0,0,0,0,0,321,140,21,0,0,8,0,8,0,0,0,313,152,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,0,0,0,0,0,8,,,,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,8,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,313,329.0,847.0,1499.0,291500.0,16,,17,18,18,0,0,0,0,0,18,0,313,14,37,87,9,0,0,0,0,0,0,0,0,46,49,0,847.0,308600.0,313,34,0,18,21,0,45,100,34,49,12,+33.6409341,-117.9214514,G5030,Block Group 2,515,06,302768.390625,2518.88181715128,063702
3,323900,0,2,059,S,060590633022,15000US060590633022,426,417,9,426,0,0,128,98,45,49,106,0,0,0,937,171,222,0,0,184,145,39,0,0,0,753,360,426,29,0,9,0,0,10,9,133,75,161,1963,1964,1958.0,1966.0,426,9,0,9,83,158,90,47,30,0,4.3,1922,4.2,6.2,4.0,1877.0,546.0,1331.0,426,0,54,240,123,9,0,0,45,225,61,0,0,0,9,6,62,9,0,331,417,86,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,77,289,51,9,42,417,86,331,12,0,27,157,21,70,11,4,33,8,0,0,0,0,24,9,9,32,2.25,2.14,2.27,937,184,753,9,0,0,0,0,0,0,9,417,417,0,0,0,0,0,0,417,50,85,126,48,14,8,86,0,9,0,9,12,56,331,2012.0,1989.0,2014.0,417,5,82,164,53,27,0,86,0,33,34,9,10,0,331,845.0,168.0,677.0,417,77,253,0,87,0,0,0,0,0,417,331,0,86,0,0,0,0,0,417,105,0,0,0,86,77,9,0,0,0,331,226,86,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,40,40,0,0,0,0,0,0,0,0,0,846900.0,981300.0,1149200.0,82280000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,86,49,9,9,0,31,37,82280000.0,48500000.0,33780000.0,86,0,0,10,0,0,21,0,9,0,9,49,37,0,0,0,9,0,0,0,10,0,0,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,,2345.0,,147600.0,125800.0,21800.0,86,0,9,0,37,22,15,0,0,0,0,49,0,0,0,0,10,0,9,0,12,0,9,13.7,27.3,9.0,331,1606.0,1811.0,2087.0,646500.0,0,,0,0,0,0,0,0,0,0,0,0,331,8,24,169,59,44,27,0,0,0,0,0,0,0,0,0,1895.0,675400.0,331,74,0,47,26,51,53,51,21,8,0,+33.6321488,-117.9106383,G5030,Block Group 2,641,06,468443.37109375,2903.01862457158,063302
4,323906,0,1,059,S,060590633021,15000US060590633021,370,370,0,370,0,0,342,18,10,0,0,0,0,0,896,0,0,0,0,703,662,41,0,0,0,193,193,370,174,0,0,0,0,0,7,22,43,124,1951,1951,1950.0,1959.0,370,27,0,0,7,59,147,47,71,12,5.3,2161,5.3,5.6,4.7,2161.0,1843.0,318.0,370,0,7,71,256,28,8,0,7,18,45,0,0,0,0,53,211,28,8,70,346,276,70,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,9,9,0,346,276,70,9,9,0,370,300,70,47,29,0,7,34,11,18,0,0,0,0,0,15,73,44,8,28,56,2.42,2.34,2.76,896,703,193,0,0,0,0,0,0,0,0,370,346,0,0,15,0,0,9,370,7,8,29,26,0,0,300,15,0,83,18,54,130,70,2000.0,1994.0,2012.0,370,0,25,8,37,0,0,300,0,120,112,36,32,0,70,732.0,580.0,152.0,370,0,363,0,7,0,0,0,0,0,370,70,0,300,0,0,0,0,0,370,34,0,0,0,300,210,90,0,0,0,70,36,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,109,92,81,9,0,0,0,0,0,0,0,901400.0,1258100.0,1551400.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,300,137,0,14,0,123,163,415600000.0,169550000.0,246050000.0,300,0,0,0,0,10,29,9,9,12,68,137,163,0,0,0,0,37,29,0,9,9,0,9,28,0,22,0,0,0,0,12,8,0,0,0,0,0,0,1396.0,3979.0,572.0,604500.0,499000.0,105500.0,300,9,28,7,163,100,18,28,0,8,0,137,0,0,9,0,10,0,0,20,0,56,7,18.3,33.1,9.0,63,2715.0,3074.0,3287.0,189100.0,0,,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,26,11,26,7,0,0,0,0,0,0,0,3250.0,201900.0,70,11,7,0,18,8,0,26,0,0,0,+33.6349404,-117.9078651,G5030,Block Group 1,754,06,468483.8046875,2903.20547093425,063302
5,501825,0,1,059,S,060590631021,15000US060590631021,812,792,20,812,0,0,368,258,21,56,10,37,62,0,1838,177,120,0,0,943,911,32,0,0,0,895,598,812,114,0,0,0,79,36,125,94,116,248,1964,1963,1971.0,1958.0,812,33,62,20,100,169,267,72,66,23,4.7,3839,4.7,5.4,3.7,3739.0,2287.0,1452.0,812,82,38,292,309,91,0,82,38,197,90,0,0,0,0,75,219,91,0,407,738,385,353,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,26,0,26,677,324,353,115,61,54,792,385,407,0,15,0,21,106,43,49,79,40,7,62,0,53,43,172,33,0,69,2.32,2.45,2.2,1838,943,895,20,0,0,0,0,20,0,0,792,738,0,0,0,0,28,26,792,49,0,199,49,69,41,385,17,0,111,188,35,34,407,2009.0,2007.0,2011.0,792,0,196,93,99,19,0,385,0,139,182,44,0,20,407,1490.0,735.0,755.0,792,11,615,0,166,0,0,0,0,0,792,407,0,385,0,62,0,0,79,792,199,0,0,0,385,237,148,0,0,0,407,208,385,0,0,0,0,0,0,0,0,0,0,0,0,0,15,182,148,40,0,0,0,0,0,0,0,0,0,611600.0,743800.0,905000.0,301615000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,385,333,0,0,0,333,52,301615000.0,262125000.0,39490000.0,385,0,0,0,0,11,68,55,73,56,60,333,52,0,0,15,0,0,0,0,9,0,0,15,13,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2968.0,3154.0,613.0,1071100.0,1045700.0,25400.0,385,84,36,0,52,37,15,0,0,0,0,333,0,0,0,0,37,14,53,18,91,0,0,26.0,27.4,9.0,388,1157.0,1745.0,2810.0,813800.0,0,,0,20,0,0,0,0,0,0,0,17,388,21,69,109,28,9,29,86,19,0,0,0,0,0,0,0,1807.0,841300.0,407,224,19,10,12,9,76,0,20,37,0,+33.6608928,-117.8908843,G5030,Block Group 1,959,06,726249.3359375,3991.4616014798,063102
6,342498,0,3,059,S,060590631023,15000US060590631023,580,559,21,580,0,0,291,22,0,115,37,0,18,97,1145,131,154,0,0,514,420,76,18,0,0,631,346,580,14,14,67,0,68,13,22,18,222,142,1965,1966,2002.0,1963.0,580,10,60,58,93,89,116,59,80,15,4.4,2525,4.5,6.2,3.5,2483.0,1239.0,1244.0,580,97,85,158,153,25,62,97,64,123,68,0,0,0,0,35,85,25,62,352,528,207,321,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,0,0,0,505,207,298,54,0,54,559,207,352,0,0,0,53,38,88,59,93,0,16,5,0,13,72,62,10,36,14,2.05,2.48,1.79,1145,514,631,21,0,0,0,0,21,0,0,559,528,0,0,0,0,31,0,559,1,14,229,53,50,5,207,0,84,61,27,17,18,352,2012.0,2013.0,2011.0,559,78,164,64,17,29,0,207,0,18,103,69,0,17,352,985.0,526.0,459.0,559,0,337,13,209,0,0,0,0,0,559,352,0,207,0,0,10,0,0,559,119,0,0,0,207,169,21,17,0,0,352,233,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,94,71,0,0,0,0,0,0,0,0,0,775900.0,913600.0,1251200.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,207,200,0,0,0,200,7,,,,207,0,0,0,0,0,17,18,25,25,115,200,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4001.0,4001.0,,,,,207,18,37,0,7,0,7,0,0,0,0,200,0,0,0,0,0,21,28,76,10,0,10,23.1,23.4,,319,952.0,1174.0,1748.0,443500.0,0,,0,0,0,0,0,0,0,0,41,74,319,64,14,55,54,0,17,0,33,0,0,0,0,0,0,0,1174.0,460300.0,352,159,34,0,39,40,21,0,13,17,29,+33.6564607,-117.8980854,G5030,Block Group 3,960,06,495617.58203125,3012.17315977008,063102
7,647325,0,1,059,S,060590631031,15000US060590631031,674,582,92,674,39,0,499,12,55,0,48,21,0,0,1409,24,132,9,0,1050,1020,0,0,30,0,359,194,674,36,30,19,0,30,21,36,104,257,141,1965,1965,1965.0,1965.0,674,77,9,30,0,101,120,99,120,118,6.3,4192,6.4,6.9,4.7,3670.0,2894.0,776.0,674,9,30,164,198,253,20,9,0,93,30,24,0,0,30,10,168,198,20,156,555,399,156,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,16,16,0,500,352,148,55,47,8,582,426,156,87,9,9,33,79,10,8,7,0,10,0,0,5,44,100,72,59,50,2.42,2.46,2.3,1409,1050,359,92,31,27,0,0,30,0,4,582,555,0,0,11,0,0,16,582,0,26,54,64,0,12,426,19,25,111,68,100,103,156,2006.0,2001.0,2010.0,582,0,28,76,28,24,0,426,24,56,215,102,19,10,156,1278.0,918.0,360.0,582,0,495,0,70,0,0,17,0,0,582,156,0,426,0,0,0,40,0,582,53,0,0,0,426,393,33,0,0,0,156,103,426,0,0,0,0,8,0,0,0,7,0,10,30,0,0,0,64,209,48,50,0,0,0,0,0,0,0,951200.0,1186500.0,1474400.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,426,267,0,95,0,172,159,552465000.0,402475000.0,149990000.0,426,0,0,0,8,10,6,25,46,9,163,267,159,0,30,0,0,0,0,0,31,18,0,35,9,21,15,0,0,0,0,0,0,0,0,0,0,0,0,3054.0,4001.0,601.0,1255600.0,1167200.0,88400.0,426,29,35,0,159,117,9,10,0,10,0,267,0,0,13,0,10,8,17,65,39,52,12,23.2,29.3,9.0,156,1560.0,1795.0,2086.0,294600.0,58,,0,0,0,0,0,0,0,0,0,0,156,9,0,103,29,0,0,15,0,0,0,0,0,0,0,0,1835.0,317900.0,156,27,0,0,23,46,17,0,17,16,10,+33.6459862,-117.8982997,G5030,Block Group 1,961,06,936501.16015625,4848.38041865676,063103
8,323867,0,2,059,S,060590631032,15000US060590631032,479,479,0,479,0,0,236,75,49,47,10,32,30,0,1248,165,22,0,0,827,667,52,108,0,0,421,234,479,10,0,0,7,0,49,37,95,170,111,1967,1967,1965.0,1970.0,479,33,0,11,21,130,85,91,31,77,5.4,2745,5.4,6.2,4.0,2745.0,2020.0,725.0,479,0,22,177,192,37,51,0,22,126,24,0,0,0,0,51,168,37,51,172,408,258,150,11,0,11,0,0,0,22,11,11,0,0,0,20,20,0,18,18,0,364,258,106,64,20,44,479,307,172,29,10,0,81,25,19,10,15,16,6,0,0,0,61,89,7,25,86,2.61,2.69,2.45,1248,827,421,0,0,0,0,0,0,0,0,479,408,11,0,22,0,20,18,479,0,11,121,30,10,0,307,0,18,72,106,30,81,172,2009.0,2004.0,2012.0,479,24,38,93,17,0,0,307,20,47,145,81,14,0,172,911.0,636.0,275.0,479,9,350,0,110,0,0,0,10,0,479,172,0,307,0,0,0,0,0,479,69,0,0,0,307,265,22,20,0,0,172,103,307,0,0,0,0,0,0,0,0,0,10,9,0,10,0,71,35,136,28,8,0,0,0,0,0,0,0,668100.0,1062500.0,1335700.0,304913500.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,307,243,0,51,37,155,64,304913500.0,252013500.0,52900000.0,307,0,0,0,0,29,8,10,38,64,85,243,64,0,0,0,0,10,10,0,9,18,9,10,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3441.0,3715.0,517.0,902100.0,866100.0,36000.0,307,8,78,0,64,25,10,9,10,0,0,243,0,0,10,0,17,7,17,34,50,24,8,27.5,29.7,13.5,172,1542.0,1768.0,1995.0,331700.0,0,,0,0,0,0,0,0,0,0,0,0,172,0,17,113,11,17,0,14,0,0,0,0,0,0,0,0,1805.0,358500.0,172,42,0,11,0,11,10,52,37,9,0,+33.6405237,-117.9023163,G5030,Block Group 2,962,06,468489.2265625,2903.30164453667,063103
9,342997,0,1,059,S,060590632011,15000US060590632011,484,484,0,484,0,0,275,87,31,0,14,10,36,31,1134,31,184,0,0,535,508,0,27,0,0,599,384,484,29,0,0,18,17,25,59,89,141,106,1968,1968,1965.0,1969.0,484,16,14,13,31,144,67,77,44,78,5.1,2582,5.1,6.3,4.1,2582.0,1561.0,1021.0,484,14,44,200,117,77,32,0,44,150,17,18,5,14,0,50,100,59,27,234,430,232,198,0,0,0,0,0,0,44,18,26,0,0,0,0,0,0,10,0,10,375,218,157,65,14,51,484,250,234,43,11,0,147,50,0,27,0,10,0,0,0,19,5,42,30,60,40,2.34,2.14,2.56,1134,535,599,0,0,0,0,0,0,0,0,484,430,0,0,44,0,0,10,484,24,75,90,8,0,37,250,0,14,61,40,52,83,234,2011.0,1998.0,2014.0,484,0,40,142,52,0,0,250,0,26,167,57,0,0,234,1011.0,531.0,480.0,484,35,380,0,69,0,0,0,0,0,484,234,0,250,0,10,0,0,0,484,108,0,0,0,250,227,9,0,14,0,234,126,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,73,47,0,11,0,0,0,0,0,0,0,631300.0,770500.0,984600.0,300220000.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,250,150,9,16,0,125,100,300220000.0,232670000.0,67550000.0,250,0,0,0,8,14,11,10,8,55,30,150,100,0,0,0,0,0,32,18,13,0,0,8,9,0,6,0,14,0,0,0,0,0,0,0,0,0,14,1804.0,3591.0,400.0,519400.0,462400.0,57000.0,250,31,20,0,100,9,42,8,0,23,18,150,0,0,0,0,22,0,22,39,0,0,16,22.8,24.0,14.9,234,1465.0,1717.0,1976.0,457900.0,0,,0,0,0,0,0,0,0,0,0,0,234,0,31,95,83,7,0,18,0,0,0,0,0,0,0,0,1953.0,474800.0,234,36,0,0,0,17,52,26,18,40,45,+33.6536740,-117.9008586,G5030,Block Group 1,963,06,496310.25,3014.91271964093,063201
